kode;forbrydelse;paragraf;kapitel
80247;THC (klip), med recept, motordrevet køretøj, bortset fra lille knallert;Færdselslov § 54, stk. 1, nr. 4;Færdsel
80249;Spiritus, knallertkører med høj promille;Færdselslov § 53, stk. 1;Færdsel
80250;Spiritus, knallertkører, spirituspåvirket;Færdselslov § 53, stk. 2;Færdsel
80251;Spiritus, knallertkører, promillekørsel;Færdselslov § 53, stk. 3;Færdsel
80253;Spiritus, knallertkører med promille under 0,81;Færdselslov § 53, stk. 3;Færdsel
80260;Knallertkører, medicin mv.;Færdselslov § 54, stk. 1;Færdsel
80261;Knallertkører, medicin mv.;Færdselslov § 54, stk. 2;Færdsel
80270;Cyklist mv., spirituspåvirket;Færdselslov § 54, stk. 2;Færdsel
80271;Cyklist mv., spirituspåvirket;Færdselslov § 54, stk. 3;Færdsel
80280;Cyklist mv., medicin mv.;Færdselslov § 54, stk. 2;Færdsel
80281;Cyklist mv., medicin mv.;Færdselslov § 54, stk. 3;Færdsel
81010;Manglende agtpågivenhed;Færdselslov § 3;Færdsel
81020;Anvisninger, ikke efterkommet;Færdselslov § 4-5;Færdsel
81021;Lyssignal, kørsel frem mod rødt/gult lys;Færdselslov § 4, stk. 1;Færdsel
81022;Hastighedsovertrædelse, færdselstavle;Færdselslov § 4, stk. 1;Færdsel
81023;ATK hastighedsovertrædelse, færdselstavle;Færdselslov § 4, stk. 1;Færdsel
81024;ATK hastighedsovertrædelse, færdselstavle;Færdselslov § 4, stk. 1;Færdsel
81025;ATK hastighedsovertrædelse, færdselstavle;Færdselslov § 4, stk. 1;Færdsel
81026;ATK hastighedsovertrædelse, færdselstavle (klip);Færdselslov § 4;Færdsel
81027;ATK - Hastighedsovertrædelse, færdselstavle;Færdselslov § 4, stk. 1;Færdsel
81028;ATK - Hastighedsovertrædelse, færdselstavle;Færdselslov § 4, stk. 1;Færdsel
81029;ATK - Hastighedsovertrædelse, færdselstavle;Færdselslov § 4, stk. 1;Færdsel
81030;ATK lyssignal, kørsel mod rødt lys (klip);Færdselslov § 4, stk. 1;Færdsel
81032;Rødt lys, fremkørsel mod (klip);Færdselslov § 4, stk. 1-2;Færdsel
81033;Kørselsretningen, kørsel mod (klip);Færdselslov § 4, stk. 1-2;Færdsel
81034;Spærrelinjer, overskridelse i forbindelse med overhaling (klip);Færdselslov § 4, stk. 1-2;Færdsel
81035;Nødspor, kørsel i (klip);Færdselslov § 4, stk. 1-2;Færdsel
81036;Overhaling, færdselstavle/afmærkning (klip);Færdselslov § 4, stk. 1;Færdsel
81037;Vigepligt, færdselstavle/afmærkning (klip);Færdselslov § 4, stk. 1;Færdsel
81038;Hastighed, færdselstavle (klip);Færdselslov § 4, stk. 1;Færdsel
81039;Jernbaneoverkørsel, passage af (klip);Færdselslov § 5, stk. 2;Færdsel
81040;Udrykningskørsel;Færdselslov § 7;Færdsel
81050;FUH. ikke opfyldt sine forpligtelser;Færdselslov § 9;Færdsel
81051;Forpligtelser ved færdselsuheld, undlader at standse;Færdselslov § 9, stk. 1;Færdsel
81052;Forpligtelser ved færdselsuheld § 9, stk. 2, nr. 1 (undlader at yde hjælp);Færdselslov § 9, stk. 2, nr. 1;Færdsel
81053;Forpligtelser ved færdselsuheld § 9, stk. 2, nr. 2-6;Færdselslov § 9, stk. 2, nr. 2-6;Færdsel
81060;Placering på vejen;Færdselslov § 14-15;Færdsel
81061;Forankørende, for lidt afstand til (klip);Færdselslov § 15, stk. 3 pkt. 1;Færdsel
81062;Helleanlæg mv., venstre om (klip);Færdselslov § 15, stk. 4;Færdsel
81080;Svingning mv.;Færdselslov § 16-17;Færdsel
81085;Svingning mv., til fare/unødig ulempe (klip);Færdselslov § 16, stk. 2;Færdsel
81090;Vending, bakning, vognbaneskift mv.;Færdselslov § 18;Færdsel
81091;Vending eller bakning, til fare/ulempe (klip);Færdselslov § 18, stk. 1;Færdsel
81092;Vognbaneskift, igangsætning, placering, standsning til fare/ulempe (klip);Færdselslov § 18, stk. 2;Færdsel
81110;Busstoppested mv., kørsel ved;Færdselslov § 19;Færdsel
81120;Andre køretøjer, kørsel ved møde af;Færdselslov § 20;Færdsel
81130;Overhaling, kørsel ved;Færdselslov § 21-22, 24;Færdsel
81131;Overhaling, ved kørsel (klip);Færdselslov § 21, stk. 1-4;Færdsel
81135;Overhaling, øget hastighed (klip);Færdselslov § 22, stk. 1;Færdsel
81140;Vognbaneskift, forbud mod (klip);Færdselslov § 24, stk. 1;Færdsel
81150;Overhaling, forbud mod;Færdselslov § 23, 25;Færdsel
81152;Overhaling, forbud mod (klip);Færdselslov § 23;Færdsel
81155;Overhaling, ved fodgængerfelt (klip);Færdselslov § 25;Færdsel
81170;Vigepligtsforseelse;Færdselslov § 26;Færdsel
81171;Vigepligt, ubetinget, afmærkning (klip);Færdselslov § 26 stk. 2;Færdsel
81172;Vigepligt, ubetinget, udkørsel (klip);Færdselslov § 26 stk. 3;Færdsel
81173;Vigepligt, højre (klip);Færdselslov § 26 stk. 4;Færdsel
81174;Svingning, ej sket uden ulempe (klip);Færdselslov § 26 stk. 6;Færdsel
81190;Gående, forpligtelser overfor;Færdselslov § 27;Færdsel
81210;Standsning og parkering;Færdselslov § 28-29,31;Færdsel
81220;Signal- og tegngivning;Færdselslov § 32;Færdsel
81230;Lygteføring, manglende afmærkning;Færdselslov § 33-35;Færdsel
81250;Cykel- og motorløb;Færdselslov § 37;Færdsel
81252;Kap- og væddekørsel (klip);Færdselslov § 37, stk. 4;Færdsel
81260;Generende/forstyrrende kørsel;Færdselslov § 38;Færdsel
81265;Hastighedsovertrædelse § 41;Færdselslov § 41;Færdsel
81270;Hastighedsovertrædelse § 42-43a;Færdselslov § 42-43a;Færdsel
81271;ATK hastighedsovertrædelse;Færdselslov § 42-43a;Færdsel
81272;ATK hastighedsovertrædelse;Færdselslov § 42-43a;Færdsel
81273;ATK hastighedsovertrædelse;Færdselslov § 42-43a;Færdsel
81274;ATK hastighedsovertrædelse (klip);Færdselslov § 42-43a;Færdsel
81275;ATK - Hastighedsovertrædelse;Færdselslov § 42-43a;Færdsel
81276;ATK - Hastighedsovertrædelse;Færdselslov § 42-43a;Færdsel
81277;ATK - Hastighedsovertrædelse;Færdselslov § 42-43a;Færdsel
81278;Hastighed, generelle (klip);Færdselslov § 42;Færdsel
81279;Hastighed, køretøjsbestemt (klip);Færdselslov § 43-43a;Færdsel
81290;Motorvej mv., kørsel på;Færdselslov § 44-48;Færdsel
81330;Cyklister, særlige regler for;Færdselslov § 49-50;Færdsel
81338;Knallert 3-hjulet, passager under 5 år uden sikkerhedssele (klip);Færdselslov § 51, stk. 7;Færdsel
81340;Knallertkørsel, særlige regler for;Færdselslov § 51, 63;Færdsel
81341;Lille knallert, kørsel uden at have erhvervet kørekort;Færdselslov § 63, stk. 1, 1. pkt;Færdsel
81342;Kørekort til lille knallert, ikke medbragt eller forevist;Færdselslov § 63, stk. 1, 2. pkt;Færdsel
81343;Knallertbevis/traktorKK ikke medbragt eller forevist til kørsel med lille knallert;Færdselslov § 63, stk. 1;Færdsel
81370;Motorcykelkørsel, særlige regler for;Færdselslov § 52;Færdsel
81372;Motorcykel 2-hjulet, passager under 135 cm (klip);Færdselslov § 52, stk. 5, 1. pkt.;Færdsel
81373;Motorcykel 3-hjulet/sidevogn, passager under 5 år uden sikkerhedssele (klip);Færdselslov § 52, stk. 5, 2. pkt.;Færdsel
81390;Spirituskørsel, manglende hindring af;Færdselslov § 54, stk. 3-4;Færdsel
81391;Spirituskørsel, manglende hindring af;Færdselslov § 54, stk.4-5;Færdsel
81393;Håndholdt teleudstyr mv., brug af (Ny fra 2019);Færdselslov § 55 a;Færdsel
81394;Håndholdt teleudstyr mv., brug af (klip) (Ny fra 2019);Færdselslov § 55 a;Færdsel
81395;Mobiltelefon mv., brug af (Udgået 2019);Færdselslov § 55a;Færdsel
81396;ATK - Håndholdt teleudstyr mv., brug af (klip) (Ny fra 2019);Færdselslov § 55 a;Færdsel
81397;ATK Mobiltelefon, brug af håndholdt (Udgået 2019);Færdselslov § 55a, stk. 1;Færdsel
81402;Køreuddannelse, overtrædelse af regler om  (kørekortbekendtgørelsen);Færdselslov § 56, stk. 5;Færdsel
81405;Stor knallert, kørsel uden førerret;Færdselslov § 56, stk. 1;Færdsel
81407;Traktor/motorredskab, kørsel uden førerret;Færdselslov § 62 stk. 1;Færdsel
81408;Stor knallert, kørsel uden førerret;Færdselslov § 63a, stk. 1;Færdsel
81409;Motorkørertøj, kørsel uden førerret;Færdselslov § 56, stk. 1, 1. pkt.;Færdsel
81410;Kørekort mv. ikke medbragt (motorkøretøj/stor knallert);Færdselslov § 56, stk. 1, 2. pkt.;Færdsel
81411;Kørekort, kørsel trods nægtelse;Færdselslov § 56, stk. 2 og 3 og 58;Færdsel
81412;Kørsel uden førerret til den pågældende kategori;Færdselslov § 56, stk. 1, 1. pkt.;Færdsel
81415;Erhvervsmæssig førerret, kørsel uden;Færdselslov § 56, stk. 1, 1. pkt.;Færdsel
81416;Bus, kørsel uden førerret;Færdselslov § 56, stk. 1, 1. pkt.;Færdsel
81417;Udenlandsk kørekort, nægtet ombytning kørekort;Færdselslov § 56, stk. 2;Færdsel
81420;Kørekort, inddragelse pga. utilfredsstillende helbred;Færdselslov § 60, stk. 1;Færdsel
81421;Kørekort, inddragelse pga. manglende ædruelighed;Færdselslov § 60, stk. 1;Færdsel
81422;Kørekort, inddragelse pga. euforiserende stoffer;Færdselslov § 60, stk. 1;Færdsel
81423;Kørekort, inddragelse pga. manglende kørefærdigheder;Færdselslov § 60, stk. 1;Færdsel
81424;Kørekort udenlandsk, inddragelse af;Færdselslov § 60, stk. 1;Færdsel
81425;Kørekort, inddragelse, ej mødt til kontrolprøve;Færdselslov § 60;Færdsel
81426;Kørekort nægtet, sygdom, ædruelighed, stof;Færdselslov § 56, stk. 3;Færdsel
81427;Kørekort, erhverv nægtet, strafbare forhold;Færdselslov § 58, stk. 1;Færdsel
81428;Alkolåsordning;Færdselslov § 60a og 132a;Færdsel
81429;Kørekort, inddragelse, ej kursus i køre- hviletid-takograf/lastsikring-overlæs;Færdselslov § 60 b, stk. 2;Færdsel
81430;Øvelseskørsel;Færdselslov § 64;Færdsel
81435;Fører, uden ledsager/ledsager ej opfyldt betingelser;Færdselslov § 57, stk. 3;Færdsel
81436;Ledsager, regler vedrørende;Færdselslov § 57, stk. 3;Færdsel
81437;Fører (ledsagerkrav), ej opfyldt oplysningspligt/ansavar;Færdselslov § 57, stk. 3;Færdsel
81440;Oplysningspligt mv., ikke opfyldt;Færdselslov § 65;Færdsel
81445;Lille knallert, ej lovlig, 40-42 km/t;Færdselslov § 67, stk. 2;Færdsel
81446;Lille knallert, ej lovlig, 43 km/t eller derover;Færdselslov § 67, stk. 2;Færdsel
81447;Stor knallert, ej lovlig, 60-63 km/t;Færdselslov § 67, stk. 2;Færdsel
81448;Stor knallert, ej lovlig, 64 km/t eller derover;Færdselslov § 67, stk. 2;Færdsel
81449;Knallert, ej lovlig, konstruktive ændringer/hastighedsforøgelse;Færdselslov § 67, stk. 2;Færdsel
81450;Køretøj, mangler (Udstyrsbekendtgørelsen);Færdselslov § 67-68;Færdsel
81451;Hastighedsbegrænser, ændring/manglende;Færdselslov § 68;Færdsel
81455;Forureningsbegrænsende udstyr, manipulation af, ejeransvar for køretøjer;Færdselslov 67, stk. 2;Færdsel
81456;Forureningsbegrænsende udstyr, manipulation af, føreransvar for køretøjer;Færdselslov 67, stk. 4;Færdsel
81490;Tilkobling og slæbning;Færdselslov § 70;Færdsel
81510;Manglende registrering;Færdselslov § 72;Færdsel
81520;Overtrådt registreringsbekendtgørelsen;Færdselslov § 73;Færdsel
81522;ATK Registreringsbekendtgørelse (manglende nummerplade);Færdselslov § 73;Færdsel
81550;Ulovlig kørsel med udenlandsk køretøj;Færdselslov § 76;Færdsel
81555;Syn, ikke efterkommet tilsigelse til;Færdselslov § 78;Færdsel
81560;Sikkerhedssele, ikke brug af;Færdselslov § 80;Færdsel
81562;ATK Sikkerhedssele, ikke brug af;Færdselslov § 80, stk. 1;Færdsel
81563;Befordring af barn i bagudvendt barnestol ved aktiv frontairbag;Færdselslov § 80a, stk. 3, jf. stk. 6;Færdsel
81564;Ladet sig befordre ud over antallet af siddepladser;Færdselslov § 80b, stk. 4, 1. pkt.;Færdsel
81565;Sikkerhedsudstyr, ikke fyldt 15 år (klip);Færdselslov § 80 stk. 4, 1. pkt.;Færdsel
81566;Befordring af barn uden særligt sikkerhedsudstyr (klip);Færdselslov § 80a, stk. 1;Færdsel
81567;Befordring af barn i øvrigt (klip);Færdselslov § 80a, stk. 2;Færdsel
81568;Befordring af flere børn end siddepladser (klip);Færdselslov § 80b, stk.4, 2. pkt.;Færdsel
81569;Befordring af børn (klip);Færdselslov § 80, 80a og 80b;Færdsel
81570;Styrthjelm, ikke brug af;Færdselslov § 81;Færdsel
81572;Sikkerhedsudstyr, ikke fyldt 14 (klip);Færdselslov § 80, stk. 4, 1. pkt.;Færdsel
81573;Befordring af barn under 14 på forsæde (klip);Færdselslov § 80b, stk. 4, 2 pkt.;Færdsel
81574;Styrthjelm, 5-14 år uden sikkerhedssele (klip);Færdselslov § 81, stk.3;Færdsel
81575;Styrthjelm, 8-14 år (klip);Færdselslov § 81 stk. 3;Færdsel
81576;Styrthjelm, 5-13 år uden sikkerhedssele (klip);Færdselslov § 81, stk. 3;Færdsel
81580;Køretøjers belæsning;Færdselslov § 82;Færdsel
81581;Farligt gods, national og international transport;Færdselslov § 82, stk. 5;Færdsel
81590;Køretøjets dimensioner;Færdselslov § 84;Færdsel
81610;Overlæs, herunder bekendtgørelse om vægt og akseltryk;Færdselslov § 85;Færdsel
81611;Overlæs, totalvægt;Færdselslov § 85;Færdsel
81612;Overlæs, akseltryk;Færdselslov § 85;Færdsel
81630;Blokvognskørsel;Færdselslov § 86;Færdsel
81631;Køre-hviletid;Færdselslov § 86a;Færdsel
81640;Forurening af vej mv.;Færdselslov § 87;Færdsel
81650;Dyr på vej mv.;Færdselslov § 88;Færdsel
81670;Forsikring, ikke tegnet;Færdselslov § 105-106;Færdsel
81683;Kørsel med tungt køretøj i frakendelsestid (frakendelse af tunge køretøjer);Færdselslov §117 a;Færdsel
81684;Kørsel med tungt køretøj i frakendelsestid (frakendelse af kørekort og tunge køretøjer);Færdselslov § 117 a;Færdsel
81685;Frakendelsestid - kørsel (motorkøretøj/stor knallert);Færdselslov § 117 a;Færdsel
81686;Frakendelsestid, kørsel i (lille knallert);Færdselslov § 117 c, stk. 1, 2. pkt;Færdsel
81690;Frakendelsestid, kørsel i;Færdselslov § 117, stk. 6;Færdsel
81810;Konfiskation af motorkøretøj;Færdselslov § 133 a;Færdsel
81811;Konfiskation af stor eller lille knallert;Færdselslov § 133a;Færdsel
81880;Handlinger i udlandet;Færdselslov § 134;Færdsel
81990;Overtrådt andre regler i færdselsloven;Færdselslov;Færdsel
81999;Konfiskation af knallertdele;Færdselslov;Færdsel
82000;Uoplyst spiritus- og promillekørsel;Færdselslov;Færdsel
83980;Brandundersøgelser;Særlov;Særlov
84110;Lov om euforiserende stoffer;Særlov;Særlov
84111;Lov om euforiserende stoffer (Salg);Særlov;Særlov
84120;Retsplejeloven;Særlov;Særlov
84121;Optage/transmittere billeder, lyd og tekst;Særlov;Særlov
84129;Retsplejeloven, nægter at opgive navn;Særlov;Særlov
84130;Udlændingeloven i øvrigt, strafferetlig;Særlov;Særlov
84131;Asylsøger tilbagesendt til andet land;Særlov;Særlov
84132;Udlænding i øvrigt tilbagesendt til andet land;Særlov;Særlov
84133;Asylsøger ej tilbagesendt til andet land;Særlov;Særlov
84134;Udlænding i øvrigt ej tilbagesendt til andet land;Særlov;Særlov
84135;Udlændingeloven, ulovligt ophold/arbejde;Særlov;Særlov
84136;Udlændingeloven, adgang til landet ved urigtige oplysninger;Særlov;Særlov
84137;Udlændingeloven, ulovligt arbejde/arbejdsgivere;Særlov;Særlov
84138;Asylsøger i DK tilbagetaget fra andet land;Særlov;Særlov
84139;Udlænding i øvrigt tilbagetaget fra andet land;Særlov;Særlov
84140;Udlændingeloven, adgang til landet ved urigtige oplysninger mv.;Særlov;Særlov
84141;Udlændingeloven, overtrædelse af meddelt indrejseforbud;Særlov;Særlov
84142;Udlændingeloven, ulovligt ophold;Særlov;Særlov
84143;Udlændingeloven, menneskesmugling;Særlov;Særlov
84144;Udlændingeloven, bistand ved ulovlig indrejse/ophold;Særlov;Særlov
84145;Udlændingeloven, transportøransvar;Særlov;Særlov
84146;Udlændingeloven, overtrædelse af meddelt indrejseforbud;Særlov;Særlov
84147;Udlændingeloven, udvist af andet nordisk land;Særlov;Særlov
84148;Udlændingeloven, meddelt indrejseforbud;Særlov;Særlov
84149;Manglende overholdelse af pålagt meldepligt jf. udlændingeloven;Særlov;Særlov
84150;Pasloven;Særlov;Særlov
84151;Udlændingeloven, bistand ved ulovlig indrejse;Særlov;Særlov
84152;Udlændingeloven, bistand ved ulovligt ophold;Særlov;Særlov
84153;Udlændingeloven, bistand ved ulovligt arbejde;Særlov;Særlov
84154;Manglende overholdelse af pålagt underretningspligt jf. udlændingeloven;Særlov;Særlov
84155;Udlændingeloven, ulovligt ophold;Særlov;Særlov
84156;Udlændingeloven, ulovligt arbejde/arbejdstager;Særlov;Særlov
84157;Udlændingeloven, ulovligt ophold;Særlov;Særlov
84158;Udlændingeloven, ulovligt arbejde;Særlov;Særlov
84159;Udlændingeloven, ulovligt ophold/arbejdstagere;Særlov;Særlov
84160;Udlændingeloven, ulovligt arbejde/arbejdstagere;Særlov;Særlov
84161;Udlændingeloven, ulovlig indrejse;Særlov;Særlov
84167;Udlændingeloven, bistand ved ulovligt ophold;Særlov;Særlov
84169;Manglende overholdelse af pålagt opholdspligt jf. udlændingeloven;Særlov;Særlov
84170;Lov om våben og eksplosivstof;Særlov;Særlov
84171;Våbenloven, skydevåben;Særlov;Særlov
84172;Våbenloven, kniv på offentligt sted;Særlov;Særlov
84173;Våbenloven, anden overtrædelse med kniv;Særlov;Særlov
84174;Våbenloven, i øvrigt;Særlov;Særlov
84180;Knivloven, §1, kniv på offentligt tilgængeligt sted;Særlov;Særlov
84181;Knivloven, i øvrigt;Særlov;Særlov
84190;Sprængstof, Lov om våben og eksplosivstof;Særlov;Særlov
84191;Sprængstof, bekendtgørelse om eksplosivstoffer;Særlov;Særlov
84192;Sprængstof, bekendtgørelse om eksplosivstoffer, overtrædelse af vilkår;Særlov;Særlov
84201;Fyrværkeriloven;Særlov;Særlov
84210;Brandlovgivningen/beredskabsloven;Særlov;Særlov
84215;Brandsikringslovgivningen;Særlov;Særlov
84220;Ordensbekendtgørelsen, sikring af den offentlige orden m.v.;Særlov;Særlov
84221;Ordensbekendtgørelsen, sikring af den offentlige orden (Pornoudstilling);Særlov;Særlov
84222;Ordensbekendtgørelsen, midlertidige foranstaltninger/meddelt påbud;Særlov;Særlov
84223;Ordensbekendtgørelsen, midlertidige foranstaltninger/overtrædelse af påbud;Særlov;Særlov
84224;Ordensbekendtgørelsen, zoneforbud (meddelt forbud);Særlov;Særlov
84225;Ordensbekendtgørelsen, zoneforbud (overtrædelse af forbud);Særlov;Særlov
84226;Ordensbekendtgørelsen, skærpende omstændighed (grov forstyrrelse af ro og orden);Særlov;Særlov
84230;Politivedtægten;Særlov;Særlov
84231;Politivedtægten, meddelt påbud;Særlov;Særlov
84232;Politivedtægten, overtrædelse af påbud;Særlov;Særlov
84233;Politivedtægten, lokal;Særlov;Særlov
84240;Vinter vedlige-/renholdelse af offentlig vej;Særlov;Særlov
84241;Vinter vedlige-/renholdelse af privat vej;Særlov;Særlov
84242;Vejlov, rådighed over gadeareal;Særlov;Særlov
84250;Radiospredningsloven;Særlov;Særlov
84255;Lov om radiokommunikation;Særlov;Særlov
84260;Folkeregisterlov;Særlov;Særlov
84261;Lov om personnavne;Særlov;Særlov
84265;Persondataloven, Lov om behandling af personoplysninger;Særlov;Særlov
84266;Databeskyttelsesloven;Særlov;Særlov
84270;Bekendtgørelse om radio- og fjernsynsafgift;Særlov;Særlov
84290;Ligsynsloven;Særlov;Særlov
84310;Lov om Danmarks Statistik;Særlov;Særlov
84315;Straffuldbyrdelsesloven;Særlov;Særlov
84320;Postlovgivningen;Særlov;Særlov
84330;Bibliotekslov;Særlov;Særlov
84335;Lov om tv-overvågning;Særlov;Særlov
84340;Lov om vagtvirksomhed;Særlov;Særlov
84345;Inkassovirksomhed, lov om;Særlov;Særlov
84350;Lov om krigsmateriel mv.;Særlov;Særlov
84360;Lov om hvidvaskning af penge;Særlov;Særlov
84370;Ophold i ejendom/forberedelse af forbud;Særlov;Særlov
84371;Ophold i ejendom/meddelt forbud mod;Særlov;Særlov
84372;Ophold i ejendom/overtrædelse af forbud mod;Særlov;Særlov
84375;Karantæne ved idrætsbegivenheder, forberedelse af forbud;Særlov;Særlov
84376;Karantæne ved idrætsbegivenheder, meddelt forbud;Særlov;Særlov
84377;Karantæne ved idrætsbegivenheder, overtrædelse af forbud;Særlov;Særlov
84380;Besøgende i bestemte lokaler/forberedelse af forbud;Særlov;Særlov
84381;Besøgende i bestemte lokaler/meddelt forbud mod;Særlov;Særlov
84382;Besøgende i bestemte lokaler/overtrædelse af forbud mod;Særlov;Særlov
84385;Bortvisning/forbud, begæring om ;Særlov;Særlov
84386;Bortvisning/forbud/tilhold, begæring om ;Særlov;Særlov
84387;Bortvisning, meddelt forbud;Særlov;Særlov
84388;Bortvisning, meddelt forbud og tilhold;Særlov;Særlov
84389;Bortvisning, overtrædelse af meddelt forbud;Særlov;Særlov
84390;Bortvisning, overtrædelse af meddelt forbud og tilhold;Særlov;Særlov
84400;Idrætsbegivenheder, indretning/afvikling, forberedelse af påbud;Særlov;Særlov
84401;Idrætsbegivenheder, indretning/afvikling, meddelt påbud;Særlov;Særlov
84402;Idrætsbegivenheder, indretning/afvikling, overtrædelse af meddelt påbud;Særlov;Særlov
84405;Idrætsbegivenheder, ej afholdte, forberedelse af forbud;Særlov;Særlov
84406;Idrætsbegivenheder, ej afholdte, meddelt forbud;Særlov;Særlov
84407;Idrætsbegivenheder, ej afholdte, overtrædelse af meddelt forbud;Særlov;Særlov
84410;Køretøjer, syn ikke efterkommet;Særlov;Særlov
84420;Teleloven;Særlov;Særlov
84441;Meddelt tilhold;Særlov;Særlov
84442;Meddelt opholdsforbud;Særlov;Særlov
84443;Meddelt bortvisning;Særlov;Særlov
84444;Meddelt tilhold og opholdsforbud;Særlov;Særlov
84445;Meddelt bortvisning og tilhold;Særlov;Særlov
84446;Meddelt bortvisning og opholdsforbud;Særlov;Særlov
84447;Meddelt bortvisning, tilhold og opholdsforbud;Særlov;Særlov
84451;Tilhold, overtrædelse af (Ny fra 2012);Særlov;Særlov
84452;Opholdsforbud, overtrædelse af (Ny fra 2012);Særlov;Særlov
84453;Bortvisning, overtrædelse af (Ny fra 2012);Særlov;Særlov
84454;Tilhold og opholdsforbud, overtrædelse af (Ny fra 2012);Særlov;Særlov
84455;Bortvisning og tilhold, overtrædelse af (Ny fra 2012);Særlov;Særlov
84456;Bortvisning og opholdsforbud, overtrædelse af (Ny fra 2012);Særlov;Særlov
84457;Bortvisning, tilhold og opholdsforbud, overtrædelse af (Ny fra 2012);Særlov;Særlov
84471;Overtrædelse af kommunalt samlingsstedsforbud;Særlov;Særlov
84474;Overtrædelse af forbud mod ophold på samlingssted for gruppe;Særlov;Særlov
84475;Overtrædelse af oplysningspligt i forbindelse med kommunalt samlingsstedsforbud;Særlov;Særlov
84500;Pasloven i øvrigt;Særlov;Særlov
84503;Pasloven, overtrædelse af udrejseforbud;Særlov;Særlov
84990;Andre strafferetslige særlove;Særlov;Særlov
85110;Kildeskatteloven;Særlov;Særlov
85130;Skattekontrolloven;Særlov;Særlov
85140;Manglende registrering af køretøj;Særlov;Særlov
85145;Overtrådt registreringsbekendtgørelsen;Særlov;Særlov
85147;ATK - registreringsbekendtgørelse, manglende nummerplade;Særlov;Særlov
85150;Lov om almindelig omsætningsafgift;Særlov;Særlov
85160;Kontrol med ædle metaller;Særlov;Særlov
85170;Afgiftslove for drikkevarer, tobak, benzin;Særlov;Særlov
85190;Registreringsafgiftsloven;Særlov;Særlov
85210;Vægtafgiftsloven;Særlov;Særlov
85220;Lov om afgift på spillekasinoer;Særlov;Særlov
85230;Stempelafgiftsloven;Særlov;Særlov
85250;Toldloven;Særlov;Særlov
85251;Toldloven - skærpende omstændigheder;Særlov;Særlov
85260;EF's markedsforordninger;Særlov;Særlov
85270;Pris- og avancelovgivningen;Særlov;Særlov
85990;Andre skatte- og afgiftslove mv.;Særlov;Særlov
86110;Serviceloven, Lov om social service;Særlov;Særlov
86130;Sygesikringsloven;Særlov;Særlov
86150;Lov om ATP;Særlov;Særlov
86170;Veterinærlovgivningen;Særlov;Særlov
86190;Kødloven;Særlov;Særlov
86210;Levnedsmiddellovgivningen;Særlov;Særlov
86220;Fødevareloven;Særlov;Særlov
86230;Antibiotikalovgivningen;Særlov;Særlov
86240;Lægemiddelloven;Særlov;Særlov
86245;Lov om forbud mod visse dopingmidler;Særlov;Særlov
86250;Lægeloven;Særlov;Særlov
86251;Lov om autorisation af sundhedspersoner, læger;Særlov;Særlov
86255;Tandlægeloven;Særlov;Særlov
86256;Lov om autorisation af sundhedspersoner, tandlæger;Særlov;Særlov
86270;Sygeplejeloven;Særlov;Særlov
86271;Lov om autorisation af sundhedspersoner, sygeplejersker;Særlov;Særlov
86290;Jordmoderloven;Særlov;Særlov
86291;Lov om autorisation af sundhedspersoner, jordemødre;Særlov;Særlov
86310;Svangerskabsloven;Særlov;Særlov
86315;Lov om børns retsstilling;Særlov;Særlov
86320;Lov om tatoveringer;Særlov;Særlov
86990;Andre sundheds- og sociallove;Særlov;Særlov
87110;Bolig- og bygningslovgivningen;Særlov;Særlov
87120;Lov om kommuneplanlægning;Særlov;Særlov
87130;Lejeloven;Særlov;Særlov
88110;Miljøloven;Særlov;Særlov
88112;Miljøzone, overtrædelse, dansk køretøj;Særlov;Særlov
88113;Miljøzone, overtrædelse, udenlandsk køretøj;Særlov;Særlov
88115;Havmiljøloven, olieforurening;Særlov;Særlov
88116;Havmiljøloven, anden forurening;Særlov;Særlov
88120;Grænseoverskridende affaldstransport, grønlistet;Særlov;Særlov
88124;Grænseoverskridende affaldstransport, anmeldelsespligtig;Særlov;Særlov
88126;Affaldsbekendtgørelsen, overtrædelse;Særlov;Særlov
88128;Affaldsregistret, overtrædelse;Særlov;Særlov
88130;Naturbeskyttelsesloven;Særlov;Særlov
88131;Washingtonkonvention, truede dyr/planter;Særlov;Særlov
88150;Skovloven;Særlov;Særlov
88160;Lov om planlægning;Særlov;Særlov
88170;By- og landzoneloven;Særlov;Særlov
88190;Lov om sommerhuse og campering;Særlov;Særlov
88210;Mark- og vejfredloven;Særlov;Særlov
88230;Kemikalieloven;Særlov;Særlov
88250;Landbrugsloven;Særlov;Særlov
88990;Andre love vedrørende miljø;Særlov;Særlov
89110;Dyreværnsloven;Særlov;Særlov
89111;Dyretransport, mishandling/grovere uforsvarlig behandling af dyr;Særlov;Særlov
89112;Dyretransport, medvirken til erhvervsmæssig transport af dyr;Særlov, Dyreværnsloven;Særlov
89113;Dyretransport, erhvervsmæssig transport af dyr i frakendelsestiden;Særlov;Særlov
89114;Dyretransport, manglende kompetencebevis;Særlov;Særlov
89115;Dyretransport, areal/belægning, transportør (klip);Særlov, Dyreværnsloven;Særlov
89116;Dyretransport, indvendig højde, transportør (klip);Særlov;Særlov
89117;Dyretransport, ventilation, transportør (klip);Særlov;Særlov
89118;Dyretransport, drikkevand/foder, transportør (klip);Særlov;Særlov
89119;Dyretransport, hviletid, transportør (klip);Særlov;Særlov
